irb> index.linear_search([10000])
linear_search_from_cursor: page=25, level=0, current=(9691)
linear_search_from_cursor: page=25, level=0, current=(9692)
linear_search_from_cursor: page=25, level=0, current=(9693)
linear_search_from_cursor: page=25, level=0, current=(9694)
linear_search_from_cursor: page=25, level=0, current=(9695)
linear_search_from_cursor: page=25, level=0, current=(9696)
linear_search_from_cursor: page=25, level=0, current=(9697)
linear_search_from_cursor: page=25, level=0, current=(9698)
linear_search_from_cursor: page=25, level=0, current=(9699)
linear_search_from_cursor: page=25, level=0, current=(9700)
linear_search_from_cursor: page=25, level=0, current=(9701)
linear_search_from_cursor: page=25, level=0, current=(9702)
linear_search_from_cursor: page=25, level=0, current=(9703)
linear_search_from_cursor: page=25, level=0, current=(9704)
linear_search_from_cursor: page=25, level=0, current=(9705)
linear_search_from_cursor: page=25, level=0, current=(9706)
linear_search_from_cursor: page=25, level=0, current=(9707)
linear_search_from_cursor: page=25, level=0, current=(9708)
linear_search_from_cursor: page=25, level=0, current=(9709)
linear_search_from_cursor: page=25, level=0, current=(9710)
linear_search_from_cursor: page=25, level=0, current=(9711)
linear_search_from_cursor: page=25, level=0, current=(9712)
linear_search_from_cursor: page=25, level=0, current=(9713)
linear_search_from_cursor: page=25, level=0, current=(9714)
linear_search_from_cursor: page=25, level=0, current=(9715)
linear_search_from_cursor: page=25, level=0, current=(9716)
linear_search_from_cursor: page=25, level=0, current=(9717)
linear_search_from_cursor: page=25, level=0, current=(9718)
linear_search_from_cursor: page=25, level=0, current=(9719)
linear_search_from_cursor: page=25, level=0, current=(9720)
linear_search_from_cursor: page=25, level=0, current=(9721)
linear_search_from_cursor: page=25, level=0, current=(9722)
linear_search_from_cursor: page=25, level=0, current=(9723)
linear_search_from_cursor: page=25, level=0, current=(9724)
linear_search_from_cursor: page=25, level=0, current=(9725)
linear_search_from_cursor: page=25, level=0, current=(9726)
linear_search_from_cursor: page=25, level=0, current=(9727)
linear_search_from_cursor: page=25, level=0, current=(9728)
linear_search_from_cursor: page=25, level=0, current=(9729)
linear_search_from_cursor: page=25, level=0, current=(9730)
linear_search_from_cursor: page=25, level=0, current=(9731)
linear_search_from_cursor: page=25, level=0, current=(9732)
linear_search_from_cursor: page=25, level=0, current=(9733)
linear_search_from_cursor: page=25, level=0, current=(9734)
linear_search_from_cursor: page=25, level=0, current=(9735)
linear_search_from_cursor: page=25, level=0, current=(9736)
linear_search_from_cursor: page=25, level=0, current=(9737)
linear_search_from_cursor: page=25, level=0, current=(9738)
linear_search_from_cursor: page=25, level=0, current=(9739)
linear_search_from_cursor: page=25, level=0, current=(9740)
linear_search_from_cursor: page=25, level=0, current=(9741)
linear_search_from_cursor: page=25, level=0, current=(9742)
linear_search_from_cursor: page=25, level=0, current=(9743)
linear_search_from_cursor: page=25, level=0, current=(9744)
linear_search_from_cursor: page=25, level=0, current=(9745)
linear_search_from_cursor: page=25, level=0, current=(9746)
linear_search_from_cursor: page=25, level=0, current=(9747)
linear_search_from_cursor: page=25, level=0, current=(9748)
linear_search_from_cursor: page=25, level=0, current=(9749)
linear_search_from_cursor: page=25, level=0, current=(9750)
linear_search_from_cursor: page=25, level=0, current=(9751)
linear_search_from_cursor: page=25, level=0, current=(9752)
linear_search_from_cursor: page=25, level=0, current=(9753)
linear_search_from_cursor: page=25, level=0, current=(9754)
linear_search_from_cursor: page=25, level=0, current=(9755)
linear_search_from_cursor: page=25, level=0, current=(9756)
linear_search_from_cursor: page=25, level=0, current=(9757)
linear_search_from_cursor: page=25, level=0, current=(9758)
linear_search_from_cursor: page=25, level=0, current=(9759)
linear_search_from_cursor: page=25, level=0, current=(9760)
linear_search_from_cursor: page=25, level=0, current=(9761)
linear_search_from_cursor: page=25, level=0, current=(9762)
linear_search_from_cursor: page=25, level=0, current=(9763)
linear_search_from_cursor: page=25, level=0, current=(9764)
linear_search_from_cursor: page=25, level=0, current=(9765)
linear_search_from_cursor: page=25, level=0, current=(9766)
linear_search_from_cursor: page=25, level=0, current=(9767)
linear_search_from_cursor: page=25, level=0, current=(9768)
linear_search_from_cursor: page=25, level=0, current=(9769)
linear_search_from_cursor: page=25, level=0, current=(9770)
linear_search_from_cursor: page=25, level=0, current=(9771)
linear_search_from_cursor: page=25, level=0, current=(9772)
linear_search_from_cursor: page=25, level=0, current=(9773)
linear_search_from_cursor: page=25, level=0, current=(9774)
linear_search_from_cursor: page=25, level=0, current=(9775)
linear_search_from_cursor: page=25, level=0, current=(9776)
linear_search_from_cursor: page=25, level=0, current=(9777)
linear_search_from_cursor: page=25, level=0, current=(9778)
linear_search_from_cursor: page=25, level=0, current=(9779)
linear_search_from_cursor: page=25, level=0, current=(9780)
linear_search_from_cursor: page=25, level=0, current=(9781)
linear_search_from_cursor: page=25, level=0, current=(9782)
linear_search_from_cursor: page=25, level=0, current=(9783)
linear_search_from_cursor: page=25, level=0, current=(9784)
linear_search_from_cursor: page=25, level=0, current=(9785)
linear_search_from_cursor: page=25, level=0, current=(9786)
linear_search_from_cursor: page=25, level=0, current=(9787)
linear_search_from_cursor: page=25, level=0, current=(9788)
linear_search_from_cursor: page=25, level=0, current=(9789)
linear_search_from_cursor: page=25, level=0, current=(9790)
linear_search_from_cursor: page=25, level=0, current=(9791)
linear_search_from_cursor: page=25, level=0, current=(9792)
linear_search_from_cursor: page=25, level=0, current=(9793)
linear_search_from_cursor: page=25, level=0, current=(9794)
linear_search_from_cursor: page=25, level=0, current=(9795)
linear_search_from_cursor: page=25, level=0, current=(9796)
linear_search_from_cursor: page=25, level=0, current=(9797)
linear_search_from_cursor: page=25, level=0, current=(9798)
linear_search_from_cursor: page=25, level=0, current=(9799)
linear_search_from_cursor: page=25, level=0, current=(9800)
linear_search_from_cursor: page=25, level=0, current=(9801)
linear_search_from_cursor: page=25, level=0, current=(9802)
linear_search_from_cursor: page=25, level=0, current=(9803)
linear_search_from_cursor: page=25, level=0, current=(9804)
linear_search_from_cursor: page=25, level=0, current=(9805)
linear_search_from_cursor: page=25, level=0, current=(9806)
linear_search_from_cursor: page=25, level=0, current=(9807)
linear_search_from_cursor: page=25, level=0, current=(9808)
linear_search_from_cursor: page=25, level=0, current=(9809)
linear_search_from_cursor: page=25, level=0, current=(9810)
linear_search_from_cursor: page=25, level=0, current=(9811)
linear_search_from_cursor: page=25, level=0, current=(9812)
linear_search_from_cursor: page=25, level=0, current=(9813)
linear_search_from_cursor: page=25, level=0, current=(9814)
linear_search_from_cursor: page=25, level=0, current=(9815)
linear_search_from_cursor: page=25, level=0, current=(9816)
linear_search_from_cursor: page=25, level=0, current=(9817)
linear_search_from_cursor: page=25, level=0, current=(9818)
linear_search_from_cursor: page=25, level=0, current=(9819)
linear_search_from_cursor: page=25, level=0, current=(9820)
linear_search_from_cursor: page=25, level=0, current=(9821)
linear_search_from_cursor: page=25, level=0, current=(9822)
linear_search_from_cursor: page=25, level=0, current=(9823)
linear_search_from_cursor: page=25, level=0, current=(9824)
linear_search_from_cursor: page=25, level=0, current=(9825)
linear_search_from_cursor: page=25, level=0, current=(9826)
linear_search_from_cursor: page=25, level=0, current=(9827)
linear_search_from_cursor: page=25, level=0, current=(9828)
linear_search_from_cursor: page=25, level=0, current=(9829)
linear_search_from_cursor: page=25, level=0, current=(9830)
linear_search_from_cursor: page=25, level=0, current=(9831)
linear_search_from_cursor: page=25, level=0, current=(9832)
linear_search_from_cursor: page=25, level=0, current=(9833)
linear_search_from_cursor: page=25, level=0, current=(9834)
linear_search_from_cursor: page=25, level=0, current=(9835)
linear_search_from_cursor: page=25, level=0, current=(9836)
linear_search_from_cursor: page=25, level=0, current=(9837)
linear_search_from_cursor: page=25, level=0, current=(9838)
linear_search_from_cursor: page=25, level=0, current=(9839)
linear_search_from_cursor: page=25, level=0, current=(9840)
